class_name,day_of_week,lesson_number,subject_name,teacher_name,room
9 А,1,1,Математика,Иванов И.И.,201
9 А,1,2,Русский язык,Петрова А.С.,202
9 А,1,3,Английский язык,Сидорова М.В.,203
9 А,1,4,Физика,Козлов Д.Н.,204
9 А,1,5,Химия,Смирнова Е.К.,205
9 А,1,6,Биология,Волков А.П.,206
9 Б,1,1,Русский язык,Петрова А.С.,202
9 Б,1,2,Математика,Иванов И.И.,201
9 Б,1,3,История,Кузнецов С.В.,207
9 Б,1,4,Обществознание,Орлова Н.М.,208
9 Б,1,5,География,Морозов В.И.,209
9 Б,1,6,Физкультура,Соколов Д.А.,спортзал
10 А,1,1,Алгебра,Иванов И.И.,301
10 А,1,2,Геометрия,Иванов И.И.,301
10 А,1,3,Физика,Козлов Д.Н.,302
10 А,1,4,Химия,Смирнова Е.К.,303
10 А,1,5,Информатика,Павлов А.С.,304
10 А,1,6,Английский язык,Сидорова М.В.,305
